item,gunung,tinggi,vsi,regionalLabel,koordinat
http://www.wikidata.org/entity/Q2735753,Gunung Guntur,2249,263130,,Point(107.839722222 -7.143333333)
http://www.wikidata.org/entity/Q2740999,Gunung Talamau,2919,261130,,Point(99.983333333 0.079166666)
http://www.wikidata.org/entity/Q2746639,Gunung Ungaran,2050,263230,,Point(110.33 -7.18)
http://www.wikidata.org/entity/Q2854575,Gunung Wayang,2182,263080,,Point(107.63 -7.208)
http://www.wikidata.org/entity/Q2901375,Poco Ranaka,2350,264071,,Point(120.516666666 -8.633333333)
http://www.wikidata.org/entity/Q3043015,Gunung Mahawu,1324,266110,,Point(124.858 1.358)
http://www.wikidata.org/entity/Q3114099,Danau Ranau,540,261251,,Point(103.930555555 -4.8625)
http://www.wikidata.org/entity/Q3120328,Gunung Tangkoko,1149,266130,,Point(125.173055555 1.497777777)
http://www.wikidata.org/entity/Q3217435,Gunung Muria,1625,263251,,Point(110.88333333 -6.61666667)
http://www.wikidata.org/entity/Q3219949,Gunung Lawu,3265,263260,,Point(111.191666666 -7.625)
http://www.wikidata.org/entity/Q3238267,Pulau Moti,950,268063,,Point(127.4 0.45)
http://www.wikidata.org/entity/Q3492253,Gunung Patah,2817,261231,,Point(103.3 -4.27)
http://www.wikidata.org/entity/Q4175389,Gunung Inierie,2245,264080,,Point(120.95 -8.875)
http://www.wikidata.org/entity/Q4175400,Gunung Hiri,630,268052,,Point(127.32 0.88)
http://www.wikidata.org/entity/Q4176217,Gunung Hutapanjang,2021,261172,,Point(101.6 -2.33)
http://www.wikidata.org/entity/Q4176628,Pulau Mare,308,268062,,Point(127.4 0.57)
http://www.wikidata.org/entity/Q4178015,Gunung Tigalalu,422,268071,,Point(127.42 0.07)
http://www.wikidata.org/entity/Q4178018,Gunung Suoh,1000,261270,,Point(104.27 -5.25)
http://www.wikidata.org/entity/Q4180786,Gunung Sekincau,1719,261260,,Point(104.32 -5.12)
