,item,gunung,tinggi,tipe,regional,vsi,lattitude,longitude,koordinat
82,http://www.wikidata.org/entity/Q1190569,Tangkuban Perahu,2084,A,Jawa,261251,-6.759896118,107.6152292,Point(103.930555555 -4.8625)
93,http://www.wikidata.org/entity/Q2025875,Wurlali,868,A,Maluku,261260,-7.125,128.675,Point(104.32 -5.12)
70,http://www.wikidata.org/entity/Q807010,Banua Wuhu,-5,A,Sulawesi,263131,-2.826828627,102.1644616,Point(107.95 -6.77)
,,Teon,655,A,Maluku,,-6.962425692,129.1436887,
,,Wetar,282,A,Maluku,,-6.636496433,126.6589508,
,,Sundoro,3136,A,Jawa,,-7.301527462,109.9969899,
72,http://www.wikidata.org/entity/Q815632,Belirang-Beriti,1958,B,Sumatera,266020,-3.38335492,102.3728869,Point(124.415833333 0.7575)
4,http://www.wikidata.org/entity/Q4180299,Bukit Daun,2467,B,Sumatera,261020,-3.38335492,102.3728869,Point(95.658 5.448)
41,http://www.wikidata.org/entity/Q4175476,Ililabalekan,1018,B,Bali-Nusa Tenggara,265090,-8.541949376,123.3818055,Point(129.871388888 -4.525)
112,http://www.wikidata.org/entity/Q2597888,Ilimuda,1100,B,Bali-Nusa Tenggara,264240,-8.476914857,122.7614361,Point(123.38 -8.55)
24,http://www.wikidata.org/entity/Q2549314,Iyang-Argapura,3088,B,Jawa,263281,-7.964977957,113.5730332,Point(112.45 -7.92)
102,http://www.wikidata.org/entity/Q2344869,Karang,1778,B,Jawa,263010,-6.268606232,106.0497187,Point(105.975 -6.342)
32,http://www.wikidata.org/entity/Q1193306,Klabat,1995,B,Sulawesi,261090,1.453408748,125.0301038,Point(98.887222222 2.679722222)
111,http://www.wikidata.org/entity/Q2580533,Kunyit,2151,B,Sumatera,263300,-2.278645217,101.4826074,Point(112.921944444 -8.107777777)
,,Emperor of China (BL),,B,Maluku,-6.804395241,124.5404903,,
123,http://www.wikidata.org/entity/Q3219949,Lawu,3265,B,Jawa,261810,-7.637606941,111.1902459,Point(97.664 3.85)
66,http://www.wikidata.org/entity/Q598893,Merbabu,3142,B,Jawa,264030,-7.447476244,110.4386812,Point(116.466666666 -8.416666666)
85,http://www.wikidata.org/entity/Q1373835,Patuha,2434,B,Jawa,266010,-7.16637657,107.4021262,Point(121.608 -0.17)
,,Pusuk Bukit,1972,B,Sumatera,,2.614332962,98.66811207,
1,http://www.wikidata.org/entity/Q42174,Rajabasa,1281,B,Sumatera,265030,-5.780916762,105.6315893,Point(126.65 -6.641666666)
132,http://www.wikidata.org/entity/Q4180786,Sekincau,1719,B,Sumatera,265050,-5.099013337,104.3450091,Point(129.125 -6.92)
21,http://www.wikidata.org/entity/Q2162588,Sempu,1549,B,Sulawesi,264110,1.135419788,124.7514596,Point(121.645 -8.897)
100,http://www.wikidata.org/entity/Q2302908,Sibayak,2212,B,Sumatera,263020,3.239658265,98.50450673,Point(106.05 -6.269166666)
79,http://www.wikidata.org/entity/Q1087355,Sibualbuali,1819,B,Sumatera,264220,1.554115588,99.2559152,Point(123.252 -8.344)
29,http://www.wikidata.org/entity/Q1087196,Sumbing (sumatera),2507,B,Sumatera,261171,-2.411531282,101.7253218,Point(101.4828 -2.275)
54,http://www.wikidata.org/entity/Q126717,Telaga Bodas,2201,B,Jawa,263251,-7.210962849,108.0652008,Point(110.88333333 -6.61666667)
,,Tadoko,979,B,Maluku,,1.262777296,127.4822551,
116,http://www.wikidata.org/entity/Q2746639,Ungaran,2050,B,Jawa,268052,1.262777296,127.4822551,Point(127.32 0.88)
75,http://www.wikidata.org/entity/Q956331,Wilis,2563,B,Jawa,261270,-7.790262659,111.6325957,Point(104.27 -5.25)
,,Yersey (BL),0,B,Maluku,,-7.651986444,123.669043,
115,http://www.wikidata.org/entity/Q2740999,Talamau,2919,B,Sumatera,263130,0.073932947,99.98020206,Point(107.839722222 -7.143333333)
43,http://www.wikidata.org/entity/Q4986919,Bukit Lumut Balai,2055,B,Sumatera,263170,-4.223597657,103.6231924,Point(108.4 -6.891944444)
0,http://www.wikidata.org/entity/Q40981,Geureudong,2885,B,Sumatera,266120,4.79325407,96.82046025,Point(125.030833333 1.453333333)
89,http://www.wikidata.org/entity/Q1847015,"Pulau Manuk, Maluku",282,B,Maluku,263070,-5.54294653,130.3038775,Point(107.4 -7.160277777)
51,http://www.wikidata.org/entity/Q42118,Pulosari,1346,B,Jawa,265080,-6.33953778,105.9750272,Point(130.3054 -5.5439)
117,http://www.wikidata.org/entity/Q2854575,Wayang,2182,B,Jawa,268062,-7.206973055,107.6377119,Point(127.4 0.57)
34,http://www.wikidata.org/entity/Q2181214,Kamojang,1730,C,Jawa,261150,-7.125,107.8,Point(100.317136111 -0.432583333)
48,http://www.wikidata.org/entity/Q12773636,Perbakti-Gagak,1699,C,Jawa,263090,-6.757176832,106.6865177,Point(107.6 -6.77)
22,http://www.wikidata.org/entity/Q2328794,Poco Leok,1675,C,Bali-Nusa Tenggara,264270,-8.7237,120.439562,Point(124.133333333 -8.516666666)
104,http://www.wikidata.org/entity/Q2381562,Riang Kotang,200,C,Bali-Nusa Tenggara,261140,-8.284211904,122.9114926,Point(100.473333333 -0.380555555)
,,Batu kolok,,C,Sulawesi,,1.161703006,124.7640011,
,,Jaboi,200,C,Sumatera,,5.803434596,95.32402286,
,,Kaldera Sokoria,,C,Bali - Nusa Tenggara,,-8.783466506,121.764812,
,,Kawah Karaha,1155,C,Jawa,,-7.124445709,108.076667,
,,Kawah Manuk,,C,Jawa,,-7.227575343,107.7315307,
,,Kiaraberes Gagak,1511,C,Jawa,,-6.730199667,106.6495391,
,,Lahendong,,C,Sulawesi,,1.275055504,124.8292481,
,,Marga Bayur/Besar,1899,C,Sumatera,,-4.432690072,103.6856043,
,,Ndetu Napi,750,C,Bali - Nusa Tenggara,,-8.711673409,121.8080373,
,,Pematang Bata/Suwoh,,C,Sumatera,,-5.230591853,104.2616571,
,,Sarongsong,,C,Sulawesi,,1.283967696,124.821566,
,,Tampusu,1186,C,Sulawesi,,1.265878591,124.8521638,
,,Tempang,,C,Sulawesi,,1.17154662,124.8435946,
,,Ulubelu,1040,C,Sumatera,,-5.335496236,104.5905884,
,,Waesano,,C,Bali - Nusa Tenggara,,-8.710685171,119.9887172,
90,http://www.wikidata.org/entity/Q1899342,api Wetar,282,A,Maluku,261210,-6.636496433,126.6589508,Point(126.65 -6.641666666)
6,http://www.wikidata.org/entity/Q571805,Baluran,1247,,,264001,,,Point(114.362222222 -7.846388888)
7,http://www.wikidata.org/entity/Q2003801,Bratan,2276,,,263320,,,Point(115.133333333 -8.283333333)
39,http://www.wikidata.org/entity/Q455404,Bukit Amasing,1030,,,268073,,,Point(127.498055555 -0.532222222)
13,http://www.wikidata.org/entity/Q856301,Bukit Bibinoi,900,,,261160,,,Point(127.716666666 -0.766666666)
120,http://www.wikidata.org/entity/Q3114099,Danau Ranau,540,,,263210,,,Point(103.930555555 -4.8625)
59,http://www.wikidata.org/entity/Q183360,Danau Toba,900,C,Sumatera,266040,2.074526068,98.94517421,Point(98.887222222 2.679722222)
35,http://www.wikidata.org/entity/Q2786660,Dataran Malang,680,,,264070,,,Point(112.68 -8.02)
127,http://www.wikidata.org/entity/Q4175400,Hiri,630,,,263805,,,Point(107.8 -7.125)
25,http://www.wikidata.org/entity/Q8523823,Hulubelu,1040,,,263292,,,Point(104.6 -5.35)
128,http://www.wikidata.org/entity/Q4176217,Hutapanjang,2021,,,266070,,,Point(101.6 -2.33)
46,http://www.wikidata.org/entity/Q8523728,Imun,1505,,,261240,,,Point(103.62 -4.22)
42,http://www.wikidata.org/entity/Q4180889,Jailolo,1130,,,263040,,,Point(127.42 1.08)
47,http://www.wikidata.org/entity/Q11737565,Kawi-Butak,2868,,,262000,,,Point(112.45 -7.92)
63,http://www.wikidata.org/entity/Q537391,Kembar,2245,C,Sumatera,261220,3.857109997,97.66369043,Point(97.664 3.85)
69,http://www.wikidata.org/entity/Q675072,Kendang,2608,,,264020,,,Point(107.72 -7.23)
91,http://www.wikidata.org/entity/Q1911044,Lewotolo,1423,,,263240,,,Point(110.44 -7.455)
30,http://www.wikidata.org/entity/Q1087336,Lubukraya,1862,,,263050,,,Point(99.209 1.478)
38,http://www.wikidata.org/entity/Q383862,Lurus,539,,,263081,,,Point(113.580277777 -7.739166666)
68,http://www.wikidata.org/entity/Q670643,Malabar,2343,,,267030,,,Point(107.65 -7.13)
18,http://www.wikidata.org/entity/Q829440,Mount Besar,1899,,,263140,,,Point(103.666666666 -4.433333333)
97,http://www.wikidata.org/entity/Q2190351,Mount Teon,655,,,263270,,,Point(129.125 -6.92)
122,http://www.wikidata.org/entity/Q3217435,Muria,1625,,,261800,,,Point(110.88333333 -6.61666667)
125,http://www.wikidata.org/entity/Q3492253,Patah,2817,,,261110,,,Point(103.3 -4.27)
96,http://www.wikidata.org/entity/Q2171115,Penanggungan,1653,,,261230,,,Point(112.63 -7.62)
118,http://www.wikidata.org/entity/Q2901375,Poco Ranaka,2350,,,264150,,,Point(120.516666666 -8.633333333)
